,Genre,Artist,Song,Listeners,URL
0,Rock,Arctic Monkeys,I Bet You Look Good on the Dancefloor,1251286,https://www.last.fm/music/Arctic+Monkeys/_/I+Bet+You+Look+Good+on+the+Dancefloor
1,Rock,Queens of the Stone Age,No One Knows,1087129,https://www.last.fm/music/Queens+of+the+Stone+Age/_/No+One+Knows
2,Rock,Radiohead,Airbag,961610,https://www.last.fm/music/Radiohead/_/Airbag
3,Rock,The Beatles,Here Comes the Sun,869327,https://www.last.fm/music/The+Beatles/_/Here+Comes+the+Sun
4,Rock,Blur,Girls & Boys,696438,https://www.last.fm/music/Blur/_/Girls+&+Boys
5,Rock,The Fray,Over My Head (Cable Car),578829,https://www.last.fm/music/The+Fray/_/Over+My+Head+(Cable+Car)
6,Rock,Blur,Parklife,560091,https://www.last.fm/music/Blur/_/Parklife
7,Rock,The Strokes,Machu Picchu,474657,https://www.last.fm/music/The+Strokes/_/Machu+Picchu
8,Rock,Bruce Springsteen,Streets of Philadelphia,467056,https://www.last.fm/music/Bruce+Springsteen/_/Streets+of+Philadelphia
9,Rock,Supertramp,The Logical Song,452906,https://www.last.fm/music/Supertramp/_/The+Logical+Song
10,Rock,Tenacious D,The Metal,448789,https://www.last.fm/music/Tenacious+D/_/The+Metal
11,Rock,Blur,Country House,435664,https://www.last.fm/music/Blur/_/Country+House
12,Rock,Bon Jovi,Always,677188,https://www.last.fm/music/Bon+Jovi/_/Always
13,Rock,Pink Floyd,Astronomy Domine,420311,https://www.last.fm/music/Pink+Floyd/_/Astronomy+Domine
14,Rock,Tenacious D,Kickapoo,413250,https://www.last.fm/music/Tenacious+D/_/Kickapoo
15,Rock,Blur,The Universal,402142,https://www.last.fm/music/Blur/_/The+Universal
16,Rock,Garbage,Only Happy When It Rains,391681,https://www.last.fm/music/Garbage/_/Only+Happy+When+It+Rains
17,Rock,Supertramp,Breakfast in America,389414,https://www.last.fm/music/Supertramp/_/Breakfast+in+America
18,Rock,Lenny Kravitz,American Woman,379265,https://www.last.fm/music/Lenny+Kravitz/_/American+Woman
19,Rock,Santana,Smooth,747596,https://www.last.fm/music/Santana/_/Smooth
20,Rock,Blur,End of a Century,362974,https://www.last.fm/music/Blur/_/End+of+a+Century
21,Rock,Tenacious D,Master Exploder,346127,https://www.last.fm/music/Tenacious+D/_/Master+Exploder
22,Rock,Blur,Charmless Man,342582,https://www.last.fm/music/Blur/_/Charmless+Man
23,Rock,Blur,To the End,357319,https://www.last.fm/music/Blur/_/To+the+End
24,Rock,Pink Floyd,Bike,292019,https://www.last.fm/music/Pink+Floyd/_/Bike
25,Rock,Pink Floyd,Set the Controls for the Heart of the Sun,286704,https://www.last.fm/music/Pink+Floyd/_/Set+the+Controls+for+the+Heart+of+the+Sun
26,Rock,Blur,This Is a Low,274959,https://www.last.fm/music/Blur/_/This+Is+a+Low
27,Rock,Skillet,Monster,488259,https://www.last.fm/music/Skillet/_/Monster
28,Rock,Tenacious D,Kielbasa,268601,https://www.last.fm/music/Tenacious+D/_/Kielbasa
29,Rock,John Mayer,Bigger Than My Body,253986,https://www.last.fm/music/John+Mayer/_/Bigger+Than+My+Body
30,Rock,Supertramp,Dreamer,306845,https://www.last.fm/music/Supertramp/_/Dreamer
31,Rock,Blur,For Tomorrow,242289,https://www.last.fm/music/Blur/_/For+Tomorrow
32,Rock,Pink Floyd,Interstellar Overdrive,228204,https://www.last.fm/music/Pink+Floyd/_/Interstellar+Overdrive
33,Rock,"Crosby, Stills, Nash & Young",Ohio,422213,"https://www.last.fm/music/Crosby,+Stills,+Nash+&+Young/_/Ohio"
34,Rock,Tenacious D,Baby,579099,https://www.last.fm/music/Tenacious+D/_/Baby
35,Rock,Tenacious D,Rock Your Socks,212479,https://www.last.fm/music/Tenacious+D/_/Rock+Your+Socks
36,Rock,Tenacious D,Inward Singing,203214,https://www.last.fm/music/Tenacious+D/_/Inward+Singing
37,Rock,Demi Lovato,Cool for the Summer,202478,https://www.last.fm/music/Demi+Lovato/_/Cool+for+the+Summer
38,Rock,Primal Scream,Rocks,709947,https://www.last.fm/music/Primal+Scream/_/Rocks
39,Rock,The Rolling Stones,Bitch,285444,https://www.last.fm/music/The+Rolling+Stones/_/Bitch
40,Rock,Tenacious D,Drive-Thru,154802,https://www.last.fm/music/Tenacious+D/_/Drive-Thru
41,Rock,Blur,Tracy Jacks,152814,https://www.last.fm/music/Blur/_/Tracy+Jacks
42,Rock,The Rolling Stones,Love Is Strong,137561,https://www.last.fm/music/The+Rolling+Stones/_/Love+Is+Strong
43,Rock,Supertramp,It's Raining Again,149772,https://www.last.fm/music/Supertramp/_/It%27s+Raining+Again
44,Rock,Blur,Badhead,138196,https://www.last.fm/music/Blur/_/Badhead
45,Rock,Blur,Bank Holiday,138075,https://www.last.fm/music/Blur/_/Bank+Holiday
46,Rock,Blur,Stereotypes,134010,https://www.last.fm/music/Blur/_/Stereotypes
47,Rock,Blur,London Loves,129719,https://www.last.fm/music/Blur/_/London+Loves
48,Rock,Billie Eilish,you should see me in a crown,127763,https://www.last.fm/music/Billie+Eilish/_/you+should+see+me+in+a+crown
49,Rock,Blur,Far Out,126216,https://www.last.fm/music/Blur/_/Far+Out
